"AGE_GROUP_ARAB","AGE_GROUP_ENGL","NATIONALITY_ARAB","NATIONALITY_ENGL","OBSVALUE_OBSV","SEX_ARAB","SEX_ENGL","YEAR_TIME"
"10-19","10-19","سعودي"," Saudi ","16308","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","4845","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","14287","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","5167","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","1763","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","5260","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","9717","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","39085","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","535","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","4145","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","3979","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","659","أنثى","Female","1441"
"50-59","50-59","غير سعودي","Non Saudi","1403","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","237","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","3049","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","18632","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","108367","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","2575","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","11565","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","414","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","7610","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","1223","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","1365","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","157","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","1332","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","209","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","1021","أنثى","Female","1440"
