NATIONALITY_ARAB,NATIONALITY_CODE,NATIONALITY_ENGL,OBSVALUE_OBSV,YEAR_TIME
دول مجلس التعاون,1111,GCC countries,32600,1438
دول مجلس التعاون,1111,GCC countries,31884,1440
الدول الإفريقية عدا الدول العربية,4444,African countries excluding Arab countries,186873,1438
الدول العربية عدا دول مجلس التعاون,2222,Arab countries excluding GCC countries,395410,1439
الدول الآسيوية عدا الدول العربية,3333,Asian countries excluding Arab countries,1049496,1439
الدول الأوروبية,5555,European countries,88601,1439
الدول الإفريقية عدا الدول العربية,4444,African countries excluding Arab countries,187814,1440
الدول الأوروبية,5555,European countries,67054,1440
الدول الإفريقية عدا الدول العربية,4444,African countries excluding Arab countries,166083,1439
الدول العربية عدا دول مجلس التعاون,2222,Arab countries excluding GCC countries,383044,1438
دول أمريكا الشمالية والجنوبية وأستراليا,6666,North and South America countries and Australia,24992,1439
الدول الأوروبية,5555,European countries,84894,1438
الدول الآسيوية عدا الدول العربية,3333,Asian countries excluding Arab countries,1042335,1438
الدول العربية عدا دول مجلس التعاون,2222,Arab countries excluding GCC countries,414750,1440
الدول الآسيوية عدا الدول العربية,3333,Asian countries excluding Arab countries,1126633,1440
دول أمريكا الشمالية والجنوبية وأستراليا,6666,North and South America countries and Australia,22268,1438
دول مجلس التعاون,1111,GCC countries,34140,1439
دول أمريكا الشمالية والجنوبية وأستراليا,6666,North and South America countries and Australia,26892,1440
